Data,Ora,Totale Fotovoltaico,Totale Casa,Energia immessa in rete,Energia utilizzata fotovoltaico,Energia utilizzata fotovoltaico ora,produzione fotovoltaico ora,consumo casa ora,energia immessa ora,giorno,fascia,costo con pannello,consumo senza pannello,costo senza pannello,mese
24/08/2023,16:20:18,"28881,4","34022,1","17683,7","11197,7",,,,,GIO,PICCO,0,0,0,AUG
24/08/2023,17:20:17,"29246,6","34022,1","17994,7","11251,9","54,2","365,2",0,311,GIO,PICCO,0,"54,2","0,016802",AUG
24/08/2023,18:20:18,"29533,3","34100,5","18203,9","11329,4","77,5","286,7","78,4","209,2",GIO,PICCO,"0,024304","155,9","0,048329",AUG
24/08/2023,19:20:18,"29617,3","34168,3","18220,8","11396,5","67,1",84,"67,8","16,9",GIO,PICCO,"0,021018","134,9","0,041819",AUG
24/08/2023,20:20:18,"29623,4","34406,9","18220,8","11402,6","6,1","6,1","238,6",0,GIO,FUORI,"0,062036","244,7","0,063622",AUG
24/08/2023,21:20:18,"29623,4","34882,5","18220,8","11402,6",0,0,"475,6",0,GIO,FUORI,"0,123656","475,6","0,123656",AUG
24/08/2023,22:20:17,"29623,4","36156,1","18220,8","11402,6",0,0,"1273,6",0,GIO,FUORI,"0,331136","1273,6","0,331136",AUG
24/08/2023,23:20:18,"29623,4","36641,8","18220,8","11402,6",0,0,"485,7",0,GIO,FUORI,"0,126282","485,7","0,126282",AUG
25/08/2023,00:20:18,"29623,4","36746,3","18220,8","11402,6",0,0,"104,5",0,VEN,FUORI,"0,02717","104,5","0,02717",AUG
25/08/2023,01:20:17,"29623,4","36834,4","18220,8","11402,6",0,0,"88,1",0,VEN,FUORI,"0,022906","88,1","0,022906",AUG
25/08/2023,02:20:17,"29623,4","36938,7","18220,8","11402,6",0,0,"104,3",0,VEN,FUORI,"0,027118","104,3","0,027118",AUG
25/08/2023,03:20:18,"29623,4","37034,8","18220,8","11402,6",0,0,"96,1",0,VEN,FUORI,"0,024986","96,1","0,024986",AUG
25/08/2023,04:20:17,"29623,4","37125,4","18220,8","11402,6",0,0,"90,6",0,VEN,FUORI,"0,023556","90,6","0,023556",AUG
25/08/2023,05:20:18,"29623,4","37224,4","18220,8","11402,6",0,0,99,0,VEN,FUORI,"0,02574",99,"0,02574",AUG
25/08/2023,06:20:18,"29623,4","37317,8","18220,8","11402,6",0,0,"93,4",0,VEN,FUORI,"0,024284","93,4","0,024284",AUG
25/08/2023,07:20:17,"29633,1","37396,3","18220,8","11412,3","9,7","9,7","78,5",0,VEN,FUORI,"0,02041","88,2","0,022932",AUG
25/08/2023,08:20:18,"29662,2","37937,4","18220,8","11441,4","29,1","29,1","541,1",0,VEN,PICCO,"0,167741","570,2","0,176762",AUG
25/08/2023,09:20:17,"29751,3","38439,5","18246,7","11504,6","63,2","89,1","502,1","25,9",VEN,PICCO,"0,155651","565,3","0,175243",AUG
25/08/2023,10:20:19,"30054,3","38439,5","18481,4","11572,9","68,3",303,0,"234,7",VEN,PICCO,0,"68,3","0,021173",AUG
25/08/2023,11:20:18,"30465,3","38439,5","18828,2","11637,1","64,2",411,0,"346,8",VEN,PICCO,0,"64,2","0,019902",AUG
25/08/2023,12:20:18,31017,"38439,5","19311,4","11705,6","68,5","551,7",0,"483,2",VEN,PICCO,0,"68,5","0,021235",AUG
25/08/2023,13:20:17,"31515,8","38439,5","19689,9","11825,9","120,3","498,8",0,"378,5",VEN,PICCO,0,"120,3","0,037293",AUG
25/08/2023,14:20:17,"32038,6","38439,5","20067,3","11971,3","145,4","522,8",0,"377,4",VEN,PICCO,0,"145,4","0,045074",AUG
25/08/2023,15:20:18,"32581,1","38806,9","20305,8","12275,3",304,"542,5","367,4","238,5",VEN,PICCO,"0,113894","671,4","0,208134",AUG
25/08/2023,16:20:17,"32907,3",38895,"20498,4","12408,9","133,6","326,2","88,1","192,6",VEN,PICCO,"0,027311","221,7","0,068727",AUG
25/08/2023,17:20:18,"33227,7","38895,7","20697,5","12530,2","121,3","320,4","0,7","199,1",VEN,PICCO,"0,000217",122,"0,03782",AUG
25/08/2023,18:20:18,"33491,3","39306,3","20745,7","12745,6","215,4","263,6","410,6","48,2",VEN,PICCO,"0,127286",626,"0,19406",AUG
25/08/2023,19:20:18,"33570,9","39967,3","20745,7","12825,2","79,6","79,6",661,0,VEN,PICCO,"0,20491","740,6","0,229586",AUG
25/08/2023,20:20:18,"33576,7","41104,7","20745,7",12831,"5,8","5,8","1137,4",0,VEN,FUORI,"0,295724","1143,2","0,297232",AUG
25/08/2023,21:20:18,"33576,7","41397,5","20745,7",12831,0,0,"292,8",0,VEN,FUORI,"0,076128","292,8","0,076128",AUG
25/08/2023,22:20:18,"33576,7",41588,"20745,7",12831,0,0,"190,5",0,VEN,FUORI,"0,04953","190,5","0,04953",AUG
25/08/2023,23:20:17,"33576,7","41686,6","20745,7",12831,0,0,"98,6",0,VEN,FUORI,"0,025636","98,6","0,025636",AUG
